DATETIME,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2018-06-01 00:00:00,1003,348,245,357,4061,0,0
2018-06-01 01:00:00,1004,347,245,356,4078,0,0
2018-06-01 02:00:00,1004,349,245,355,3915,0,0
2018-06-01 03:00:00,1004,350,245,359,3877,0,0
2018-06-01 04:00:00,1002,348,246,359,3689,0,0
2018-06-01 05:00:00,1001,354,245,489,3123,0,0
2018-06-01 06:00:00,998,359,245,533,2650,1628,15
2018-06-01 07:00:00,994,365,245,535,1827,5406,230
2018-06-01 08:00:00,989,367,243,462,1140,8011,476
2018-06-01 09:00:00,986,361,242,430,686,9215,547
2018-06-01 10:00:00,973,351,243,431,581,9819,565
2018-06-01 11:00:00,955,349,243,428,653,10065,583
2018-06-01 12:00:00,949,346,242,388,612,10058,599
2018-06-01 13:00:00,947,350,242,382,624,10084,602
2018-06-01 14:00:00,947,345,242,410,630,9996,599
2018-06-01 15:00:00,948,362,242,478,685,9590,597
2018-06-01 16:00:00,947,369,242,513,960,8855,599
2018-06-01 17:00:00,945,374,242,532,1680,7467,554
2018-06-01 18:00:00,960,381,243,570,2141,4307,357
2018-06-01 19:00:00,976,382,243,568,2440,843,61
2018-06-01 20:00:00,981,379,243,556,2630,2,12
2018-06-01 21:00:00,983,379,242,537,2448,0,0
2018-06-01 22:00:00,984,360,242,498,2073,0,0
2018-06-01 23:00:00,986,354,242,392,1729,0,0
2018-06-02 00:00:00,987,359,242,389,1611,0,0
2018-06-02 01:00:00,988,365,242,384,1545,0,0
2018-06-02 02:00:00,988,373,243,386,1522,0,0
2018-06-02 03:00:00,986,380,242,388,1411,0,0
2018-06-02 04:00:00,973,383,243,386,1299,0,0
2018-06-02 05:00:00,974,386,245,477,1163,0,0
2018-06-02 06:00:00,974,401,244,520,1038,1601,11
2018-06-02 07:00:00,970,401,244,480,858,5358,230
2018-06-02 08:00:00,967,402,244,380,768,8058,454
2018-06-02 09:00:00,965,392,245,376,764,9111,474
2018-06-02 10:00:00,962,382,242,377,805,9658,477
2018-06-02 11:00:00,959,395,243,373,834,9946,382
2018-06-02 12:00:00,957,395,243,374,741,9934,364
2018-06-02 13:00:00,954,395,244,377,659,9891,297
2018-06-02 14:00:00,964,391,243,370,647,9705,206
2018-06-02 15:00:00,966,402,243,407,691,9313,200
2018-06-02 16:00:00,965,407,242,513,1133,8525,180
2018-06-02 17:00:00,964,410,242,521,1957,7023,161
2018-06-02 18:00:00,966,408,243,526,2359,4043,115
2018-06-02 19:00:00,968,405,240,539,2658,767,6
2018-06-02 20:00:00,970,402,240,525,2787,0,0
2018-06-02 21:00:00,971,395,240,472,2781,0,0
2018-06-02 22:00:00,974,377,241,454,2921,0,0
2018-06-02 23:00:00,975,369,241,364,2805,0,0
2018-06-03 00:00:00,977,366,239,404,2714,0,0
2018-06-03 01:00:00,977,364,240,410,2864,0,0
2018-06-03 02:00:00,978,365,240,412,2994,0,0
2018-06-03 03:00:00,982,366,240,414,2767,0,0
2018-06-03 04:00:00,983,371,240,415,2189,0,0
2018-06-03 05:00:00,984,378,240,416,1895,0,0
2018-06-03 06:00:00,984,394,240,443,1423,1535,1
2018-06-03 07:00:00,981,390,239,346,923,5037,253
2018-06-03 08:00:00,975,380,240,344,597,7685,505
2018-06-03 09:00:00,971,380,240,350,358,8822,562
2018-06-03 10:00:00,966,379,240,352,267,9449,570
2018-06-03 11:00:00,964,380,239,352,255,9668,549
2018-06-03 12:00:00,961,371,238,354,354,9949,546
2018-06-03 13:00:00,960,368,237,404,509,9923,549
2018-06-03 14:00:00,960,363,237,403,957,9778,572
2018-06-03 15:00:00,959,367,236,438,1537,9361,572
2018-06-03 16:00:00,958,370,236,491,2127,8638,557
2018-06-03 17:00:00,960,370,236,493,2260,7239,479
2018-06-03 18:00:00,965,371,237,500,2371,4165,312
2018-06-03 19:00:00,968,369,237,538,2669,792,36
2018-06-03 20:00:00,974,371,238,525,2776,0,0
2018-06-03 21:00:00,977,368,238,490,3006,0,0
2018-06-03 22:00:00,980,347,237,366,3088,0,0
2018-06-03 23:00:00,983,335,237,365,3077,0,0
2018-06-04 00:00:00,986,333,235,364,3082,0,0
2018-06-04 01:00:00,990,332,236,374,3205,0,0
2018-06-04 02:00:00,990,329,235,373,3375,0,0
2018-06-04 03:00:00,991,332,235,374,3357,0,0
2018-06-04 04:00:00,991,335,235,375,3100,0,0
2018-06-04 05:00:00,992,329,235,408,2639,0,0
2018-06-04 06:00:00,994,343,235,440,2286,1627,53
2018-06-04 07:00:00,993,345,232,390,2198,5536,279
2018-06-04 08:00:00,987,355,230,384,2138,8067,512
2018-06-04 09:00:00,983,364,232,386,2287,9049,568
2018-06-04 10:00:00,980,369,234,409,2343,9573,585
2018-06-04 11:00:00,951,368,234,410,2346,9759,574
2018-06-04 12:00:00,950,366,242,411,2444,9844,571
2018-06-04 13:00:00,952,365,236,467,2473,9887,602
2018-06-04 14:00:00,949,366,237,473,2671,9510,563
2018-06-04 15:00:00,945,366,241,472,2882,8665,424
2018-06-04 16:00:00,946,365,241,555,2883,7842,182
2018-06-04 17:00:00,949,367,242,560,2584,6484,183
2018-06-04 18:00:00,970,386,243,559,2384,3609,47
2018-06-04 19:00:00,981,396,244,557,2548,594,0
2018-06-04 20:00:00,984,396,244,528,2440,0,0
2018-06-04 21:00:00,986,396,244,490,2668,0,0
2018-06-04 22:00:00,988,377,243,478,2800,0,0
2018-06-04 23:00:00,991,368,243,374,3147,0,0
2018-06-05 00:00:00,993,375,243,347,3426,0,0
2018-06-05 01:00:00,995,374,244,345,3556,0,0
2018-06-05 02:00:00,995,375,244,346,3268,0,0
2018-06-05 03:00:00,996,376,240,347,3424,0,0
2018-06-05 04:00:00,997,381,239,347,3392,0,0
2018-06-05 05:00:00,997,389,239,488,3189,0,0
2018-06-05 06:00:00,998,394,243,500,2890,1526,40
2018-06-05 07:00:00,994,395,238,520,2432,5113,200
2018-06-05 08:00:00,992,393,239,529,1945,7637,474
2018-06-05 09:00:00,988,381,239,528,1579,8763,555
2018-06-05 10:00:00,968,379,242,429,1420,9488,584
2018-06-05 11:00:00,913,379,240,428,1320,9871,597
2018-06-05 12:00:00,893,382,241,431,1438,9946,579
2018-06-05 13:00:00,912,381,243,427,1719,9882,508
2018-06-05 14:00:00,948,382,241,431,2120,9628,298
2018-06-05 15:00:00,948,389,243,450,2675,9137,268
2018-06-05 16:00:00,946,397,238,537,3104,8354,255
2018-06-05 17:00:00,946,393,235,550,3192,6880,244
2018-06-05 18:00:00,971,394,236,542,3282,3902,148
2018-06-05 19:00:00,979,393,239,577,3240,804,7
2018-06-05 20:00:00,982,393,242,566,3412,0,0
2018-06-05 21:00:00,985,391,241,512,3436,0,0
2018-06-05 22:00:00,986,373,241,489,3734,0,0
2018-06-05 23:00:00,987,367,243,395,4170,0,0
2018-06-06 00:00:00,989,376,245,419,4413,0,0
2018-06-06 01:00:00,990,382,245,421,4262,0,0
2018-06-06 02:00:00,991,384,246,424,3871,0,0
2018-06-06 03:00:00,992,388,246,422,3258,0,0
2018-06-06 04:00:00,992,388,246,422,2909,0,0
2018-06-06 05:00:00,993,394,246,457,2744,18,0
2018-06-06 06:00:00,992,400,246,487,2214,1583,41
2018-06-06 07:00:00,988,399,242,479,1753,5391,281
2018-06-06 08:00:00,984,404,239,481,1627,7971,502
2018-06-06 09:00:00,979,402,239,470,1583,8845,565
2018-06-06 10:00:00,976,398,238,437,1607,9467,584
2018-06-06 11:00:00,955,395,226,364,1767,9925,597
2018-06-06 12:00:00,946,397,221,360,1996,9946,623
2018-06-06 13:00:00,945,399,219,361,2393,9903,622
2018-06-06 14:00:00,943,388,218,387,2563,9609,618
2018-06-06 15:00:00,941,396,217,383,2839,9160,628
2018-06-06 16:00:00,942,401,217,380,3263,8578,634
2018-06-06 17:00:00,943,404,223,383,3527,7196,579
2018-06-06 18:00:00,960,410,230,388,3888,4124,384
2018-06-06 19:00:00,976,412,239,418,3906,867,67
2018-06-06 20:00:00,979,410,239,439,3975,56,14
2018-06-06 21:00:00,983,409,239,402,3852,51,0
2018-06-06 22:00:00,986,404,241,384,3879,44,0
2018-06-06 23:00:00,989,394,245,345,3871,46,0
2018-06-07 00:00:00,991,394,245,344,4113,0,0
2018-06-07 01:00:00,992,392,246,305,4355,0,0
2018-06-07 02:00:00,992,394,246,322,4148,0,0
2018-06-07 03:00:00,992,395,246,327,3824,0,0
2018-06-07 04:00:00,992,389,247,322,3576,0,0
2018-06-07 05:00:00,992,391,246,406,3102,0,0
2018-06-07 06:00:00,992,392,245,453,2787,1476,37
2018-06-07 07:00:00,989,391,242,472,2708,5148,262
2018-06-07 08:00:00,983,392,227,429,2617,7851,459
2018-06-07 09:00:00,978,375,234,428,2454,8971,540
2018-06-07 10:00:00,973,342,233,428,2512,9640,565
2018-06-07 11:00:00,944,342,233,349,2647,9948,595
2018-06-07 12:00:00,943,344,239,341,2901,9922,643
2018-06-07 13:00:00,943,345,240,336,3416,9872,646
2018-06-07 14:00:00,947,344,241,335,4001,9940,645
2018-06-07 15:00:00,951,348,241,376,4291,9601,643
2018-06-07 16:00:00,951,361,242,377,4580,8907,617
2018-06-07 17:00:00,953,374,242,370,4660,7450,559
2018-06-07 18:00:00,969,385,243,375,4666,4377,357
2018-06-07 19:00:00,981,391,244,516,4855,1009,64
2018-06-07 20:00:00,985,393,243,513,4672,69,20
2018-06-07 21:00:00,988,393,244,492,4452,0,1
2018-06-07 22:00:00,992,377,244,365,4332,0,0
2018-06-07 23:00:00,993,368,244,356,4435,0,0
2018-06-08 00:00:00,993,365,244,322,4586,0,0
2018-06-08 01:00:00,995,367,244,312,4454,0,0
2018-06-08 02:00:00,998,367,245,298,4485,0,0
2018-06-08 03:00:00,998,368,245,301,4287,0,0
2018-06-08 04:00:00,997,372,245,352,4171,0,0
2018-06-08 05:00:00,997,376,244,433,3860,1,0
2018-06-08 06:00:00,997,388,244,469,3476,1585,42
2018-06-08 07:00:00,993,390,242,414,2861,5425,262
2018-06-08 08:00:00,990,400,235,416,2208,8039,471
2018-06-08 09:00:00,986,401,233,425,1429,9150,549
2018-06-08 10:00:00,978,397,238,381,1023,9748,583
2018-06-08 11:00:00,952,393,234,341,914,10035,577
2018-06-08 12:00:00,950,391,240,368,1142,10091,634
2018-06-08 13:00:00,947,390,238,379,1521,10066,634
2018-06-08 14:00:00,944,393,240,360,1759,9924,629
2018-06-08 15:00:00,944,402,240,360,2623,9501,632
2018-06-08 16:00:00,944,408,240,318,3506,8771,622
2018-06-08 17:00:00,944,407,242,315,4298,7357,559
2018-06-08 18:00:00,966,405,243,381,4677,4315,365
2018-06-08 19:00:00,976,399,243,444,4798,890,64
2018-06-08 20:00:00,979,394,243,483,4953,11,1
2018-06-08 21:00:00,983,393,242,380,4937,0,0
2018-06-08 22:00:00,985,376,241,329,4887,0,0
2018-06-08 23:00:00,987,368,241,315,4949,0,0
2018-06-09 00:00:00,989,375,241,360,4795,0,0
2018-06-09 01:00:00,989,375,243,332,4485,0,0
2018-06-09 02:00:00,989,383,244,333,4479,0,0
2018-06-09 03:00:00,988,385,244,332,4537,0,0
2018-06-09 04:00:00,989,387,245,330,4377,0,0
2018-06-09 05:00:00,988,389,244,291,4160,0,0
2018-06-09 06:00:00,990,394,244,317,4016,1641,65
2018-06-09 07:00:00,991,397,243,317,3873,5268,311
2018-06-09 08:00:00,991,397,243,280,3790,8074,524
2018-06-09 09:00:00,990,395,243,279,3798,9138,585
2018-06-09 10:00:00,986,387,243,268,3804,9571,601
2018-06-09 11:00:00,984,382,242,302,4213,9096,584
2018-06-09 12:00:00,982,382,242,308,4334,9409,570
2018-06-09 13:00:00,982,386,242,305,4625,9562,544
2018-06-09 14:00:00,983,389,242,306,4876,9152,534
2018-06-09 15:00:00,983,389,242,306,4850,8796,529
2018-06-09 16:00:00,986,395,242,342,5006,8063,511
2018-06-09 17:00:00,991,396,242,345,4866,6546,436
2018-06-09 18:00:00,992,396,242,410,4451,3520,286
2018-06-09 19:00:00,993,397,243,492,4136,631,26
2018-06-09 20:00:00,995,395,243,523,4212,0,0
2018-06-09 21:00:00,996,396,242,476,4098,0,0
2018-06-09 22:00:00,997,389,243,370,4042,0,0
2018-06-09 23:00:00,999,389,242,324,4033,0,0
2018-06-10 00:00:00,1001,391,242,362,3804,0,0
2018-06-10 01:00:00,1001,396,242,323,3161,0,0
2018-06-10 02:00:00,1002,395,243,321,2996,0,0
2018-06-10 03:00:00,1003,394,243,321,3152,0,0
2018-06-10 04:00:00,1004,395,243,319,3697,0,0
2018-06-10 05:00:00,1003,396,239,285,3678,2,0
2018-06-10 06:00:00,1005,404,239,343,3315,1523,28
2018-06-10 07:00:00,972,399,241,307,2899,4746,146
2018-06-10 08:00:00,952,394,242,267,3040,6515,337
2018-06-10 09:00:00,951,388,242,267,3369,7228,446
2018-06-10 10:00:00,947,382,242,265,3181,8066,579
2018-06-10 11:00:00,950,393,242,266,2946,8812,610
2018-06-10 12:00:00,978,398,241,299,2876,9453,609
2018-06-10 13:00:00,981,404,241,304,3231,9399,607
2018-06-10 14:00:00,979,399,241,307,3673,9525,610
2018-06-10 15:00:00,949,401,240,308,4130,8678,605
2018-06-10 16:00:00,975,405,240,309,4318,8595,580
2018-06-10 17:00:00,985,409,238,350,4340,7521,518
2018-06-10 18:00:00,985,408,237,422,4539,4578,367
2018-06-10 19:00:00,986,408,237,524,4611,1059,58
2018-06-10 20:00:00,989,412,238,526,4486,75,0
2018-06-10 21:00:00,992,409,239,512,4251,64,0
2018-06-10 22:00:00,993,401,239,379,4267,65,0
2018-06-10 23:00:00,995,395,238,314,4244,65,0
2018-06-11 00:00:00,996,395,238,228,4241,66,0
2018-06-11 01:00:00,998,396,237,224,4169,66,0
2018-06-11 02:00:00,997,395,237,227,4066,66,0
2018-06-11 03:00:00,998,398,237,227,3862,0,0
2018-06-11 04:00:00,997,397,239,224,3536,0,0
2018-06-11 05:00:00,998,402,240,308,3016,0,0
2018-06-11 06:00:00,999,405,239,359,2302,1672,75
2018-06-11 07:00:00,986,401,236,357,1402,5541,299
2018-06-11 08:00:00,967,402,235,329,940,8023,535
2018-06-11 09:00:00,963,387,236,264,551,8988,601
2018-06-11 10:00:00,949,389,236,268,364,9573,614
2018-06-11 11:00:00,931,386,241,270,359,9858,623
2018-06-11 12:00:00,921,382,243,315,342,9878,649
2018-06-11 13:00:00,918,391,243,323,263,9870,651
2018-06-11 14:00:00,915,392,244,333,232,9764,650
2018-06-11 15:00:00,906,385,245,367,348,9380,647
2018-06-11 16:00:00,921,390,245,415,650,8682,633
2018-06-11 17:00:00,920,387,245,452,1120,7306,587
2018-06-11 18:00:00,939,387,246,560,1704,4382,410
2018-06-11 19:00:00,946,388,246,567,2284,934,78
2018-06-11 20:00:00,953,389,245,562,2770,0,3
2018-06-11 21:00:00,955,388,243,392,2926,0,0
2018-06-11 22:00:00,952,378,243,300,2649,0,0
2018-06-11 23:00:00,953,377,243,301,2579,0,0
2018-06-12 00:00:00,950,369,244,301,2348,0,0
2018-06-12 01:00:00,951,369,244,297,2028,0,0
2018-06-12 02:00:00,948,369,245,260,1695,0,0
2018-06-12 03:00:00,955,371,245,261,1371,0,0
2018-06-12 04:00:00,953,364,244,260,959,0,0
2018-06-12 05:00:00,954,368,244,324,609,0,0
2018-06-12 06:00:00,957,391,245,361,465,1592,61
2018-06-12 07:00:00,951,395,236,324,315,5274,299
2018-06-12 08:00:00,951,395,232,320,213,7744,528
2018-06-12 09:00:00,949,381,238,322,173,8842,590
2018-06-12 10:00:00,939,378,243,324,173,9449,611
2018-06-12 11:00:00,913,384,244,325,139,9793,630
2018-06-12 12:00:00,910,383,245,329,180,9856,649
2018-06-12 13:00:00,906,384,243,333,272,9832,646
2018-06-12 14:00:00,907,383,244,345,503,9563,643
2018-06-12 15:00:00,912,386,245,426,775,9055,622
2018-06-12 16:00:00,910,393,245,488,1329,8279,571
2018-06-12 17:00:00,913,394,245,503,1665,6854,479
2018-06-12 18:00:00,931,393,245,634,2427,4065,281
2018-06-12 19:00:00,949,393,246,630,2736,913,44
2018-06-12 20:00:00,957,393,246,631,3113,0,0
2018-06-12 21:00:00,948,391,243,440,3138,0,0
2018-06-12 22:00:00,947,365,242,330,3028,0,0
2018-06-12 23:00:00,946,349,241,332,2887,0,0
2018-06-13 00:00:00,943,354,244,315,2802,0,0
2018-06-13 01:00:00,947,362,245,279,2672,0,0
2018-06-13 02:00:00,944,364,245,277,2486,0,0
